user_id,item_id,label
261,Mercedes-Benz_Gle350D4Matic,0
44,Mercedes-Benz_C2404Matic(Wagon),0
251,Land Rover_DiscoveryMhev,1
142,Land Rover_RangeRoverSportFfv,0
61,Honda_AccordPlug-InHybrid,1
181,Mercedes-Benz_Metris(UsPostalLong),0
208,Porsche_MacanGts,1
9,Subaru_LegacyWagonAwd,0
94,Volkswagen_Id.4S,0
157,Nissan_PathfinderVan(Cargo),1
135,Volvo_S60B5Awd,1
139,Kia_Ev6Rwd(StandardRange),0
235,Porsche_Carrera,0
187,Volvo_S90Fwd,1
66,Volvo_V60Fwd,0
295,Porsche_944S2,0
104,Ford_F1502WdFfvBasePayloadLt,0
98,Mercedes-Benz_Ml3504Matic,0
183,Volkswagen_Eurovan,0
223,Mercedes-Benz_Glc3004Matic,0
247,BMW_X3Xdrive30E,0
81,Chevrolet_ExpressPassenger(Bi-Fuel),1
85,BMW_I5Edrive40Sedan(20InchWheels),1
128,Subaru_CrosstrekHybridAwd,1
225,Audi_Rs3,1
45,Mazda_Navajo4X4,0
251,Chevrolet_CavalierWagon,0
298,Lexus_Ux300H,1
2,Hyundai_AccentBlue,0
198,Ford_Courier,0
224,Ford_EscapeHybrid4Wd,0
69,Chevrolet_Colorado2Wd,1
103,Hyundai_KonaElectricLongRange,1
280,Ford_RangerPickupCabChassis2Wd,1
185,Mercedes-Benz_Sl500,0
191,Mercedes-Benz_Eqe5004Matic,0
87,Chevrolet_Cruze,0
73,Mercedes-Benz_R63Amg,1
142,Mercedes-Benz_AmgGtCoupe,0
10,Mercedes-Benz_Cle4504Matic(Coupe),1
292,Toyota_4Runner4Wd,0
168,Volkswagen_Vanagon/Camper2Wd,0
284,Ford_F150RaptorPickup4Wd,0
176,Chevrolet_SilveradoMudTerrainTires4Wd,0
8,BMW_M3CompetitionSedan,0
200,BMW_228IConvertible,1
149,Mercedes-Benz_Eqb250Plus,0
288,Nissan_Stanza,1
254,Porsche_CayenneTurboGt,0
287,Ford_TransitConnectVan,1
219,Chevrolet_Express1500Awd,1
218,Mercedes-Benz_AmgGlc634MaticPlus,0
57,Porsche_CayenneTurboGtCoupe,0
170,Chevrolet_Corvette,0
229,Nissan_AriyaPlatPlusE-4Orce87Kwh20,1
292,Mercedes-Benz_S5504Matic,1
63,BMW_I5M60XdriveSedan(21InchWheels),0
87,Dacia_Coupe,0
10,Mercedes-Benz_AmgSl63,0
157,Audi_RsQ8,1
233,Jaguar_E-PaceMhev,0
128,Nissan_Cube,0
54,Audi_R8Spyder,1
162,Kia_SorentoFwd,0
273,Ford_F150Dual-Fuel2Wd(Cng),1
117,Audi_Rs6,0
251,BMW_AlpinaB7LwbXdrive,0
174,Jaguar_VandenPlasS/C,0
14,Ford_Escape4WdFfv,0
274,Chevrolet_SpectrumTurbo,0
155,Mercedes-Benz_AmgGle63S4MaticPlusCoupe,0
59,Peugeot_405StationWagon,0
150,Volvo_S60PolestarAwd,0
99,Nissan_Nv200NycTaxi,1
260,Kia_Optima,0
226,Tesla_ModelSAwd-60D,0
30,Chevrolet_CruzeHatchback,0
267,BMW_650IConvertibleXdrive,0
187,Mercedes-Benz_S560Convertible,0
77,Hyundai_SantaFeHybrid,0
219,BMW_550IGranTurismo,0
197,Mercedes-Benz_500Sec,0
236,Jaguar_XjAwd,0
147,Jeep_J-10Pickup4Wd,1
49,Jaguar_F-Pace30T,0
172,Ford_EscapeFwd,0
29,Mazda_B2500/B3000/B40004Wd,1
191,Mazda_626,0
57,Porsche_TaycanPerformanceBattery,0
268,Jaguar_Vdp4.2Litre,0
94,Ford_Ranger2Wd,0
56,Jaguar_XjrsConvertble,0
21,Porsche_TaycanTurbo,0
266,Volvo_940SeWagon,1
124,Chevrolet_Prizm,0
220,Audi_Rs5Sportback,0
12,Mitsubishi_Cordia,1
256,Porsche_TaycanGts,0
134,Mercedes-Benz_E4504MaticAll-Terrain(Wagon),0
97,Volkswagen_QuantumSyncroWagon,0
78,BMW_X33.0I,0
164,Porsche_PanameraGts,0
277,Mercedes-Benz_Eqe5004Matic,0
171,Jaguar_Xf(296Hp),0
138,Volvo_Xc90T8AwdRechargeExt.Range,1
267,Mercedes-Benz_Eqb3004Matic,0
55,Jaguar_Xj12,0
68,Chevrolet_Trax,0
283,Volkswagen_RabbitConvertible,0
78,BMW_228IXdriveGranCoupe,0
77,BMW_Z4Sdrive30I,0
220,Mercedes-Benz_Ml5004Matic,0
106,Nissan_AriyaPlatPlusE-4Orce87Kwh20,1
185,Ford_MaverickAwd,0
8,Ford_C-MaxHybridFwd,1
79,Suzuki_Vitara4Door2Wd,0
63,Mercedes-Benz_E350Convertible,1
75,Chevrolet_Express35002WdCargo,1
51,Mercedes-Benz_AmgSl554MaticPlus,0
108,Ford_CrownVictoria,0
120,Jeep_WagoneerL4Wd,1
228,Audi_Allroad,0
233,Subaru_ImprezaWagon/OutbackSport,0
59,BMW_M3Sedan,0
222,Porsche_TurboGt2,1
296,Toyota_CamryTrd,0
92,Mercedes-Benz_AmgGlc63S4MaticCoupe,0
144,Ford_E150WagonFfv,1
11,Chevrolet_BoltEv,0
279,Mitsubishi_Expo,1
148,Chevrolet_Express1500Awd,1
88,Volkswagen_Arteon,1
159,BMW_850Ci,0
169,Audi_AllroadQuattro,0
121,Mercedes-Benz_AmgC434MaticConvertible,0
187,Jeep_GrandCherokeeSrt4Wd,0
287,Land Rover_RangeRoverEvoque286Hp,0
110,Hyundai_GenesisRwd,0
259,Subaru_Justy,0
296,Audi_A7Quattro,0
289,Ford_F150Pickup2Wd,0
147,Kia_Forte,0
227,Audi_Rs3,1
21,BMW_I5Edrive40Sedan(20InchWheels),1
14,Suzuki_SwiftGa,1
288,Mercedes-Benz_E350Convertible,1
188,Nissan_AltimaAwd,1
269,Jeep_Cj74Wd,0
275,Nissan_SentraFe,0
234,Porsche_BoxsterGts,0
125,Volvo_V90CcB6Awd,0
202,BMW_750Il/750IlProtection,0
120,Mercedes-Benz_C43Amg,0
278,Chevrolet_CaptivaFwd,1
67,Land Rover_DiscoverySportMhev,1
104,Honda_Hr-VAwd,1
286,Jeep_Cherokee/Wagoneer2Wd,0
141,Mitsubishi_Nativa2Wd,1
294,Ford_E150WagonFfv,0
174,Suzuki_SidekickSport2Wd,0
133,Lexus_Ls500Awd,1
235,Kia_Ev9LongRangeRwd,1
41,Chevrolet_Silverado25002Wd,1
25,Mercedes-Benz_E350(Wagon),0
202,Audi_5000CsTurbo,0
182,Mercedes-Benz_Eqs5804Matic,0
272,Suzuki_Equator2Wd,0
90,Volvo_S90,1
64,Lexus_Lc500,1
89,Suzuki_Sw,0
133,Porsche_718CaymanS,0
289,Chevrolet_ExpressCargo(DedicatedCng),0
5,BMW_X1Sdrive28I,0
201,Audi_R8Coupe,0
123,Mercedes-Benz_AmgGls634MaticPlus,0
172,Land Rover_RangeRoverEvoque(286Hp),0
205,BMW_I5M60XdriveSedan(19InchWheels),0
281,Audi_TtsCoupe,1
106,Subaru_Wrx,0
286,BMW_640IXdriveCoupe,1
229,Volkswagen_R32,1
287,Suzuki_SidekickHardtop2Wd,0
117,Nissan_370Z,0
136,Chevrolet_Tracker2WdHardtop,0
183,Tesla_ModelSAwd-70D,0
281,Lexus_Gs300/Gs430,1
74,Porsche_911S/T,1
194,Mercedes-Benz_C230Kompressor,1
106,BMW_328Ic,0
287,Mercedes-Benz_AmgEqe4MaticPlus,0
264,Nissan_AriyaVenturePlusFwd87Kwh,0
267,Mercedes-Benz_Slk350,0
217,Jeep_GladiatorEcodiesel4Wd,0
130,Mazda_B2500,0
16,Mercedes-Benz_Cl65Amg,0
228,Kia_K5,0
249,Honda_Hr-V4Wd,0
150,Volkswagen_JettaGli,1
198,BMW_228IConvertible,1
124,Mitsubishi_Nativa2Wd,1
5,Mazda_Mx-5,0
119,Hyundai_SantaFeUltimateAwd,0
22,Porsche_Carrera2CabrioletKit,0
125,Lexus_Rx3504Wd,1
37,Volvo_S90T8AwdRechargeExt.Range,1
71,Ford_F1503.5L4WdGvwr>7599LbsPayloadPackage,0
48,Tesla_ModelXAwd-90D,0
238,Mercedes-Benz_MaybachS6804Matic,1
5,Ford_TransitConnectWagonLwbFwd,0
62,Chevrolet_TrailblazerFwd,0
113,BMW_X7Xdrive50I,0
80,Lexus_Is250/Is250C,0
215,Mazda_B2500/B3000/B40004Wd,1
54,Chevrolet_V20Pickup4Wd,0
161,BMW_Z43.0Si,0
32,Porsche_New911CarreraCabriolet,1
134,Chevrolet_Van1500AwdCargo,0
224,Mercedes-Benz_C350E,0
161,Jeep_GrandCherokeeSrt4Wd,0
246,Mercedes-Benz_Glk350,1
279,BMW_135IConvertible,1
90,BMW_I3S,1
300,Chevrolet_Express25002WdPassenger,0
202,Ford_Gt2Wd,1
61,Chevrolet_Suburban25004Wd,0
73,Kia_SorentoAwd,0
260,Mercedes-Benz_C36,0
258,Toyota_CargoVan4Wd,1
251,Ford_F150Dual-Fuel4Wd(Lpg),0
154,Chevrolet_Venture2Wd,1
105,Mercedes-Benz_MaybachS6804Matic,1
35,Porsche_Turbo4911Cab,0
191,Chevrolet_OptraWagon,0
128,Audi_Q5Quattro,0
225,Chevrolet_CapriceWagon,0
225,Jaguar_Xj-Sc,0
18,Porsche_BoxsterGts,0
6,Volkswagen_RabbitConvertible,0
286,Honda_Hr-VAwd,1
101,BMW_850Ci,0
55,Ford_Tempo,0
17,Honda_Crosstour2Wd,0
158,BMW_M240IXdriveCoupeMPerformance,0
183,Mercedes-Benz_Gle450AmgCoupe,1
279,Audi_S3,0
235,Mercedes-Benz_E4304Matic,1
8,Hyundai_Nexo,0
25,Jaguar_SuperV8,0
217,Chevrolet_TrackerLt2Wd,1
174,Jeep_GrandCherokee4Wd,1
23,Honda_InsightTouring,0
152,BMW_M6Coupe,0
150,Subaru_Legacy/OutbackAwd,0
8,Honda_Accord2.0TSport/Touring,0
297,BMW_430IConvertible,1
76,Chevrolet_Tahoe15002Wd,1
96,Hyundai_Precis,0
263,Ford_CourierPickup4Wd,1
114,Jaguar_Vdp,1
211,BMW_M4CoupeCompetition,0
143,Audi_Q440E-Tron,0
64,Ford_ExplorerTimberlineAwd,0
79,Nissan_Altima/Stanza,0
286,Mercedes-Benz_R63Amg,1
163,Ford_ExplorerSport2Wd,0
216,Jeep_Liberty/Cherokee2Wd,0
119,Jeep_Cherokee2Wd,1
111,Kia_Spectra,0
10,Volvo_S90T8AwdRechargeExt.Range,1
249,Ford_F150Cng,0
20,Mercedes-Benz_Gle3504Matic,0
193,Mercedes-Benz_E4504MaticConvertible,1
173,Chevrolet_SuburbanV15004Wd,0
244,Volvo_Xc40T5Awd,1
47,Volkswagen_Cabrio,1
285,BMW_435IXdriveCoupe,1
36,Mercedes-Benz_190,0
246,BMW_135IConvertible,1
124,Nissan_Truck4Wd,0
270,Volkswagen_TiguanS,0
262,Porsche_CayenneGts,1
297,Ford_E250Econoline2Wd,0
203,Land Rover_RangeRoverLwbSva,1
76,Jaguar_XjsV12Coupe,0
45,Mercedes-Benz_Sl63Amg,1
42,Mazda_34-Door2Wd,1
145,Mazda_B4000,0
294,Jaguar_F-TypeSvrAwdCoupeGen2,0
233,BMW_540IXdriveSedan,0
98,Land Rover_Discovery,0
102,Honda_ClarityPlug-InHybrid,1
47,BMW_X5Xdrive35I,0
101,Audi_Rs3,0
6,Mazda_TributeHybrid4Wd,0
44,Chevrolet_Blazer15004Wd,0
285,Chevrolet_Express25002WdConversionCargo,0
158,Jaguar_XfAwd(296Hp),0
185,Volvo_V60T8AwdRechargeExt.Range,0
22,Ford_AerostarWagon,1
53,Kia_Ev6Rwd(LongRange),1
175,BMW_335Ci,0
283,Renault_Sportwagon,0
46,BMW_650IConvertible,1
208,Mercedes-Benz_Eqb3504Matic,0
253,Mitsubishi_Truck4Wd,0
183,Kia_ForteKoup,1
83,Chevrolet_Malibu,0
1,Mercedes-Benz_300D,1
125,Volvo_Xc60T8AwdRechargeExt.Range,0
242,Jaguar_XeAwd(296Hp),0
192,Ford_FreestarWagonFwd,0
50,Suzuki_AerioSx4Wd,1
129,Jaguar_Xj12,0
21,BMW_528Xi,1
97,Mercedes-Benz_Cle4504Matic(Coupe),1
55,Jaguar_XjsConvertible,0
90,Mitsubishi_Outlander2Wd,0
216,Mercedes-Benz_Ml55,0
1,Toyota_Rav4LimitedAwd,0
287,Mitsubishi_Nativa2Wd(PuertoRicoOnly),0
110,Tesla_ModelXPlaid(22InchWheels),0
180,Volvo_V70RAwd,1
121,Audi_90Quattro20V,0
244,Mercedes-Benz_Eqb250Plus,0
42,Porsche_924S,0
127,Porsche_911Carrera4/2,0
95,BMW_335ICoupe,1
